Age,Education,Accepted?
Young Adult,High School,No
Middle Aged,Bachelor,Yes
Aged,Master,Yes
Middle Aged,High School,No
Middle Aged,Bachelor,Yes
Aged,Doctorate,Yes
Aged,High School,No
Young Adult,Bachelor,Yes
Aged,Bachelor,Yes
Middle Aged,Master,Yes
Young Adult,High School,No
Middle Aged,Bachelor,Yes
Aged,Master,Yes
Middle Aged,High School,No
Middle Aged,Bachelor,Yes
Aged,Doctorate,Yes
Aged,High School,No
Young Adult,Bachelor,Yes
Aged,Bachelor,Yes
Middle Aged,Master,Yes
Young Adult,High School,No
Middle Aged,Bachelor,Yes
Aged,Master,Yes
Middle Aged,High School,No
Middle Aged,Bachelor,Yes
Aged,Doctorate,Yes
Aged,High School,No
Young Adult,Bachelor,Yes
Aged,Bachelor,Yes
Middle Aged,Master,Yes
Young Adult,High School,No
Middle Aged,Bachelor,Yes
Aged,Master,Yes
Middle Aged,High School,No
Middle Aged,Bachelor,Yes
Aged,Doctorate,Yes
Aged,High School,No
Young Adult,Bachelor,Yes
Aged,Bachelor,Yes
Middle Aged,Master,Yes
Young Adult,High School,No
Middle Aged,Bachelor,Yes
Aged,Master,Yes
Middle Aged,High School,No
Middle Aged,Bachelor,Yes
Aged,Doctorate,Yes
Aged,High School,No
Young Adult,Bachelor,Yes
Aged,Bachelor,Yes
Middle Aged,Master,Yes
